لینے شادی فسادن کوجی نہیں چاہیے,1
چل مہمانوں کھانا سرو چڑیل چاچی نوں دسدی آں,1
کامران خان دن بھریہ زمہ داری لگائی اپوزیشن کردار کشی اوراس پربھونکناہےآپ خوشامدگری وچاپلوسی سےاورکتنی دولت کماناچاہتےہیں موٹرسائیکل سےپیجارو پراڈو کےسفرمیں ضمیرکی لاش سےاٹھتی بدبوآپ ناک بند نہیں نوٹ سےالتجاگزارش ہےہمیں بھی فالوکریں شکریہ,0
مراد علی شاہ بھیس ڈی جی ایس حامد میر,1
قابل اعتبار قاتل اعتبار,1
انساں تھکا دیتا سوچوں سفر بھی,0
حامد میر صاحب ویلڈن,0
یار وچارہ ویلا ہوندا آرے ہویا تسی تے پکے نجومی منندے ہاں,1
سمجھتے سارا پاکستان بیوقوف ھے,1
تسی لڑاںٔی کروانی ساڈی,0
پائن دوبارہ فالو کرئیے؟؟,0
کتنی مہنگائی الو دوسو روپے درجن کدو 80روپے گز ISPR,1
عشق راس آۓ گا زخم کھاٶ مُسکراٶ,1
خاتمالنبیینمحمد Surat 73 سورة المزمل Ayt 20 حصہ5 ترجمہ اللہ راہ لڑتے جتنا قرآن میسر پڑھواورنماز قائم رکھواورزکوٰة دواور اللہ اچھا قرض درودوقرآن صَلَّی اللہُ عَلٰی حَبِیْبِہٖ سیِّدِنَا مُحَمَّدٍ وَّآلِہٖ وَصَحْبِہٖ وَسَلَّمْ,0
اب بس بھی بیچارے پہلے بیویاں ہیے اپ نے تیسری لیے ٹرائ کرنا,1
پتہ نہیں ہورہا سی سی بورڈ زنگ لگ گیا,1
اللہ رحمتوں سائے مکمل صحت یاب فرمائے,0
آرمی چیف نوٹس۔ اب مجرم جرائیم خود نوٹس لیا کرےگا۔,0
کھوتی دیا بچیا،تیری عزت اے،تیری قدر اے۔شکر بونڈ نئیں ماری۔ جے بونڈ ماری ہوندی تے تینوں پٹھاناں ہتھے چاڑ دینا سی۔ تے پین یکا,1
فوج سیاست سے رہے۔ بلاول زرداری فوج کراچی واقعے نوٹس لے۔ بلاول زرداری,1
شکریہ لڑکی جیتی رہ,0
صدائیں درودوں آتی رہینگی جنہیں سن دل شاد گا، خدا اہلسنت آباد محمد میلاد رہیگا Eide…,0
ووٹ بجائے ووٹر عزّت دیں,1
2004 نشئی نے کہا تھا اسٹیبلشمنٹ چاہیے کتا بھی وزیراعظم بن سکتا 2018 نے کتے PMبنتے دیکھ لیا,1
مشکل ناممکن نہیں کامران صاحب کوشش ۔۔؟,0
نے پورے ہفتے سے سالن روٹی نہیں کھایا حال نہیں,0
وھ بھی ھو بیشک ھے ھو کیمنا حرام ھو حق بات نہیں کرتا کامران خان نے کتنا پیسا لیا,1
ماضی انتہائی بے وقوف حال سمجھدار لڑکی مریم نواز بزدارکیپروازبلاولبیک…,0
آمین ثمہ آمین,0
جیتھے کھوتی وتھے آ کھلوتی,1
اسمبلی بغیر ڈیزل چل کیونکہ اِسکو گدھا رہا ھے گدھے ڈیزل نہیں ڈنڈے,1
عجیب بات کامران خان صاحب نے۔ پنگا بھی سے جن ابھی بھی گولیاں محو رقص انہیں پتہ ہونا چاہیئے کوئ بھی خبر غلط نہیں سکتی,0
دروازے بہت اتارتے پہلے اب خود تھپڑ لگاتے,1
ویسے پیر کلہاڑی مارنا کوئ سے سیکھے,1
دلہن پھپھو نہیں,0
محمد ندیم ملک بطور عام پاکستانی بلاول زرداری دل عزیز وزیر اعلیٰ پنجاب جناب عثمان احمد خان بزدار خلاف بیان پرزور مزمت کرتا بزدارکیپروازبلاولبیکار,1
قطری نانی ۔۔اور بلو رانی ذلیل ہونے وقت چاہتا ۔۔۔۔ قطری نانی گیم بری طرح پھنس گیا صفدر آزاد واکے ۔۔۔اب سارا ٹوپی ڈرامہ فوج ۔۔تو بلو رانی گا ۔۔عزت مآب ۔۔۔میں نے خود درخواست حضور قطری نانی جال سے بچائیں,1
اچھا بھائیوں ویلکم سکتی لڑکی بہنوں نہیںبلی زرا بھائیوں پہ کڑی نظر,0
موٹی چڑیل ٹویٹ کس,0
ایتھے تے جج نے۔۔۔,1
اک محترمہ سارا دن پاک فوج خلاف بکواس رات فوجی سو جاتی گل۔۔۔,1
لگتا دیوتا طرح پاکستان لکیروں سہارے سوچتا بولتا ہے۔۔۔,0
ہاہاہاہاہاہاہاہاہاہاہااہاہاہاہا لگدا اے مینوں ای قربانی دینی پڑنی اے,0
نہیں الٹی کھوپڑی بات کان سے سنو دوسرے سے نکال,1
سنا تھا 1 1 11 گیارہ بن جاتا ۔ مگر تاریخ 11 1 نے برباد کردیا۔ واہ خان صاحب,1
زندگی مصروف اتنا کس بھول گیا بھی یاد نہیں اردوزبان,0
ہور ٹرک آنا سی,1
بھی ملوث اُس دوبارہ سندھ پولیس حوالے کرنا چاہیے,1
وچ کہڑہ جوک جناب‍چھڈو رھن دیو تہانوں گیم دا نہیں پتا اج,0
شکر استعفی لکھنا آیا اب اگلے جنم مل بھی جائے گا,0
خبر آرمی چیف نے بلاول پریس کانفرنس بعد نہیں صبح کراچی واقعات بابت نوٹس کور کمانڈر کراچی تحقیقات رپورٹ پیش کرنے حکم دیا تھا جس بعد سندھ حکومت نے IG سندھ زبردستی چھٹیوں بھیجا کھیل مزید دلچسپ گیا,1
کراچی جلسے بلالیا گیا تھا بلاول مرگیا ھے اسکی برسی ھے ISPR,1
محبت وراثت نہیں ملتی، تلاش کرنا ادبکاسفر,0
شکریہ نوازش بہت,0
دوسروں بیویاں دیکھ جلنے سے بہتر یے بیویوں خرچہ انہیں پارلر جائیں مارخورز,1
سعید غنی عمران خان سازش ہے۔ مراد علی شاہ پولیس نے الحمدللہ خود بےنقاب,1
صافی اک بات ؟؟؟ بلاک نہیں گے؟ سچ بتائو تبدیلی نظر آرہی نا؟ لفافی صافی صحافی ‍,0
ہاہاہاہاہاہا چالیس سالہ صحافت بلتکار حامد میر۔ مولا خوش,0
دراصل ٹکلا انکل نانی چمہ دینا چاہتا تھا مگر بیچ نانا آگئے۔۔,1
اوئے بڑے غائب غائب ویلکم ویلکم,1
ہا ہا ہا آہو,0
پشاور ہاٸیکورٹ نے لیگی رہنما امیر مقام خلاف FIA تمام کیسز سفارشات رد امیر مقام باعزت بری دیا,0
اِس چیف نوٹس لینا ایسے ھی ھوا دودھ راکھا بلا چراغ تلے اندھیرا,1
6 بسکٹ گن,1
معافی نہیں دیندے قوم نوں,0
غلامی رسولٌ موت بھی قبول ہے۔۔ نا عشق مصطفی زندگی فضول ہے۔۔ حضورصلى الله عليه وسلم خاتم النبيين صلى الله عليه وسلم بعد نبی نہیں گا بےشک,0
شاید کامران خان بیرونی دوست مدد لٸے تیار بیٹھے ہمیں پتہ نہ ہو۔,1
نے پوچھنا تھا بھی چھٹی درخواست لکھ دوں,1
شغل میلہ لان دؤ توانوں پین جی,0
جس نے فالورز بڑھانے پاس تشریف لائے ایسے محسوس دیوار پہ حکیم صاحب اشتہار ٹوئیٹردواخانہ,0
بے غیرتوں جاہلوں سوا عمران نیازی اب نہیں گا ہارون رشید StandWithSindhPolice,1
فلاسفی کھلے عام ڈرامہ بولا جا رہا ہے،، بھی نوٹس لیا جائے مائی لارڈ,1
ڈیر خکولے ماشاءالله,0
دیکھتے نے کافی مقدار پاپ کارن منگوا لیے,0
آواز قائدِ اعظم نے بھی سُن لوگو فون آیا تھا پاس پوچھ مزار گدھے داخل,1
تعجب نہیں نہیں جانتا کس نے کس کہنے کاروائی ڈالی ھے ریلیف ملے گا بلاول سیاستدانوں صف شامل ھوگیا ھمارا نعرہ وہی ھے ووٹکوعزتدو,1
حسن اتفاق گلی اک کام سے تھے، کام سے گئے۔۔,0
اتنا بڑا معاملہ گیا یار وزیراعظم بھی نوٹس لینے بولے ڈمی مگر PM,1
وہی لطیفے والا کپتان ھے اک میراثی نے مرغے نام کپتان رکھا تھا وردی اتار گیا تھا,1
مرد جوانی اعمال سے بیٹی قسمت جوانی لکھ رہا,0
دیکھ ساقی بستا ھے عشق وجود میں۔۔۔ سلطنت ھے رگ رگ پہ حکومت یار کی۔۔۔,0
لفظ دوست تشریح عزت نہ کرنے والی عجیب غریب بے ڈھنگی پرواہ مخلوق۔۔۔۔۔۔,1
وہی عرض کرنے کوشش رہا دونوں ڈھنگ کھسم مر ؟,1
اللہ پاک نئ زندگی سکون عطا فرماۓ آمین ثم آمین۔,0
ایناں مینوں نی ہویا جیناں توانوں اویا اے ‍,0
ملازم تنخواہ 1 تولہ سونے برابر کِس بیغیرت نے ڈی چوک کہا تھا ؟ دردرنیازی,1
اپوزیشن عمران خان کٹھ پُتلی فیصلے کرتا ھے عمران خان سے انتقام رہا ھے,1
جلدی کہا تب سے سوچ,0
بدزبان بد کلام چوہان چوہان نیازی ٹائیگر نامی کتے لگام BachaKhanOurHero,1
اچھا دماغ بغیر دماغ والوں گھومتے ہے، دماغ صرف موجودگی نہیں استعمال بھی ہونا چاہیے,1
عورت اتنی وفا کافی نہیں؟ جنت خواب دیکھتی پہلو بیٹھا بھی تین بیویوں خواب دیکھ,0
تسی کسطرح سانوں بھل سکدے,0
فسادن ملی تے کوجی ہنھ,1
زرداری پتہ نہی سے بدلے چکا ن لیک سے پہلے گنجے سے فوج مخالف تقریر کروائ کراچی گنجی تقریر اجازت نہی ن لیک پوسٹر نیچے پیپلزپارٹی لکھوا بینرز وائرل اب جوائ گرفتار کروا دیا۔ اتحاد ن لیک بینڈ بجائ جارہی ISPR,1
گشتی پاگل ہوگی سیریس نا بھائیوں,1
شام جتنے ریٹویٹ سپیشل پروموشن لسٹ شامل جائے گاجلدی سے ریٹویٹ گارنٹی ف…,0
سرعام حق گوئ ہنر پایا علی سے عشق جگر پایا,0
وچلے ذرائع مطابق کپٹن صفدر گرفتار فوج سے 1992 بدلہ لیا گیا CompromiseGames,1
پٹواریوںکیمادرملت بنا سوار سواری,1
